Source,Target
11819,ID92481333
11819,ID51708660
11819,ID25104170
11828,ID45907793
11828,ID06938143
11828,ID22117279
11828,ID25104170
11834,ID69464236
11834,ID17401724
11834,ID35374496
11834,ID83867216
11985,ID24350002
11985,ID29922475
11985,ID59062529
11985,ID36606580
12659,ID72336161
12659,ID07574556
12659,ID23859562
12659,ID37779670
12683,ID19069416
12683,ID29922475
12683,ID17507313
12683,ID78011145
12734,ID05676954
12734,ID94867416
12734,ID00064218
12734,ID87709247
12932,ID69464236
12932,ID15700310
12932,ID15765404
12932,ID62461246
13209,ID24350002
13209,ID19069416
13209,ID29922475
13209,ID40059074
13304,ID72336161
13304,ID41829448
13304,ID20257189
13304,ID82013902
13498,ID22601337
13498,ID62450514
13498,ID69083399
13498,ID31997887
13606,ID69464236
13606,ID73707461
13606,ID77535122
13606,ID87951802
13956,ID84546112
13956,ID91391580
13956,ID54921125
13956,ID08414929
14112,ID69464236
14112,ID28416322
14112,ID64583352
14112,ID10187440
14113,ID14741935
14113,ID27430736
14113,ID46813566
14113,ID95565358
14148,ID69464236
14148,ID85042281
14148,ID59716647
14148,ID73707461
14160,ID45434939
14160,ID56261824
14160,ID31787243
14160,ID63912918
14843,ID96173168
14843,ID98152702
14843,ID40784781
14843,ID23883102
15107,ID19069416
15107,ID29922475
15107,ID40059074
15107,ID05217836
16394,ID79722230
16394,ID26781944
16394,ID98938994
16394,ID14167158
16617,ID10012765
16617,ID25937774
16617,ID14730170
16617,ID14419708
16840,ID57978417
16840,ID22029217
16840,ID60719460
16840,ID48136698
16841,ID57978417
16841,ID60719460
16841,ID22029217
16841,ID48136698
18527,ID62878800
18527,ID65647468
18527,ID94878239
18527,ID28225312
18769,ID32493641
18769,ID71243021
18769,ID83760048
18769,ID05209052
1039,ID76230751
1039,ID29128644
1039,ID56220898
1039,ID10230913
1039,ID72662891
1100,ID03087650
1100,ID86779278
1100,ID10935382
1100,ID81292596
1100,ID13827411
1105,ID75451974
1105,ID27390106
1105,ID29171426
1105,ID70899638
1105,ID65825849
2321,ID14290488
2321,ID39817414
2321,ID47537050
2321,ID10773901
2321,ID53361795
3318,ID29922475
3318,ID77492570
3318,ID25749304
3318,ID83240752
3318,ID66372317
4593,ID31950682
4593,ID05161198
4593,ID68877793
4593,ID08053519
4593,ID22383998
4608,ID32473677
4608,ID56105620
4608,ID66366063
4608,ID40105564
4608,ID17722190
4614,ID81758714
4614,ID69679051
4614,ID86800407
4614,ID53457151
4614,ID27753953
4635,ID11929225
4635,ID61225439
4635,ID60680421
4635,ID14445390
4635,ID45215299
4636,ID11568416
4636,ID62338435
4636,ID73091597
4636,ID43795659
4636,ID05991496
4702,ID98066223
4702,ID32788172
4702,ID56182866
4702,ID97826905
4702,ID45096279
4708,ID22768508
4708,ID86368243
4708,ID68500187
4708,ID21823147
4708,ID52243437
4726,ID22768508
4726,ID21823147
4726,ID52243437
4726,ID68500187
4726,ID86368243
5880,ID22601337
5880,ID66086141
5880,ID69083399
5880,ID62450514
5880,ID31997887
6921,ID72336161
6921,ID05221532
6921,ID83802771
6921,ID05069789
6921,ID82321521
6956,ID38465148
6956,ID07594665
6956,ID49950571
6956,ID28711697
6956,ID53658054
6962,ID77380044
6962,ID61522133
6962,ID00019339
6962,ID58125835
6962,ID91352767
7050,ID05676954
7050,ID69191724
7050,ID09674586
7050,ID89335453
7050,ID69425027
8022,ID83533057
8022,ID87110947
8022,ID89318966
8022,ID61132495
8022,ID04753008
8030,ID87110947
8030,ID15741156
8030,ID25380063
8030,ID64207553
8030,ID83045017
8214,ID69464236
8214,ID61954502
8214,ID44979854
8214,ID68947638
8214,ID50033773
8933,ID69464236
8933,ID24954279
